,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
528,8.86228E+11,270607159,ASUS - CHROMEBOOK,,C300MA-EDU2,270607159,886227891962,00886227891962,,3-cell,8 Hour,,,Yes,,2,1,16:9,1366 x 768,"13.3""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,90NB05W1-M00530,ASUS Computer International,C300MA-EDU2,Chromebook C300MA-EDU2 Notebook,C300MA,Asus,4 GB,DDR3L SDRAM, Chromebook C300MA-EDU2 Notebook Lithium Polymer Battery AC Adapter User E-Manual Warranty Card ,Yes,RoHS /  ENERGY STAR 4.0,Yes,Yes,IEEE 802.11ac,3.10 lb,Black,"0.9""","13""","9.1""",No,,2.16 GHz,Celeron,N2830,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,1 Year,Yes,,No,
529,8.86228E+11,276845668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,8.89349E+11,292074460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,8.89561E+11,292336718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,8.84116E+11,288034951,Dell Consumer,,i5558-2572BLK,288034951,884116168034,00884116168034,,4-cell,7 Hour,,,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics 5500,DDR3L SDRAM,Shared,TrueLife,Notebook,i5558-2572BLK,"Dell, Inc",15 5558,Inspiron 15 5558 Notebook,15 5000,Dell,4 GB,DDR3L SDRAM, Inspiron 15 5558 Notebook Lithium Ion Battery AC Adapter ,Yes,EPEAT Silver /  ENERGY STAR 6.0,Yes,Yes,IEEE 802.11ac,4.90 lb,Glossy Black,"0.9""","13.6""","9.6""",,,2.10 GHz,Core i3,i3-5015U,Dual-core (2 Core),Intel,Windows 10 Home (English),64-bit,Windows,,Yes,,Yes,
535,7.25184E+11,283973931,HP INC. - SB NOTEBOOKS,,N2S77UT#ABA,283973931,725184119309,00725184119309,,3-cell,,,,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R2 Graphics,DDR3L SDRAM,Shared,,Notebook,N2S77UT#ABA,HP Inc.,,255 G4 Notebook PC (ENERGY STAR),255 G4,HP,4 GB,DDR3L SDRAM, 255 G4 Notebook PC (ENERGY STAR) Lithium Ion Battery AC Adapter ,Yes,IT Eco Declaration /  WEEE /  RoHS /  EU WEEE /  ENERGY STAR /  EPEAT Silver /  REACH,Yes,Yes,IEEE 802.11b/g/n,4.73 lb,,"1""","15.1""","10""",,,1.40 GHz,E-Series,E1-6015,Dual-core (2 Core),AMD,Windows 8.1,64-bit,Windows,1 Year,Yes,,,
536,8.84116E+11,270725172,Dell,,i3148-6840sLV,270725172,884116147954,00884116147954,,,,,Yes,Yes,,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics 4400,DDR3L SDRAM,Shared,TrueLife,2 in 1 Netbook,i3148-6840sLV,"Dell, Inc",11-3148,Inspiron 11-3148 2 in 1 Netbook,11 3000,Dell,4 GB,DDR3L SDRAM,Inspiron 11-3148 2 in 1 NetbookStandard BatteryAC Adapter,Yes,ENERGY STAR 5.2 /  EPEAT Silver,Yes,Yes,IEEE 802.11b/g/n,3.11 lb,Silver,"0.7""","11.8""","7.9""",,,1.70 GHz,Core i3,i3-4010U,Dual-core (2 Core),Intel,Windows 8.1 (English),64-bit,Windows,,,,Yes,
538,8.88863E+11,284926815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,8.87899E+11,260974726,Acer,,NX.MHGAA.002,260974726,887899443244,00887899443244,,4-cell,4 Hour,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MHGAA.002,"Acer, Inc",E1-532-35584G50Mnrr,Aspire E1-532-35584G50Mnrr Notebook,E1-532,Acer,4 GB,DDR3L SDRAM,Aspire E1-532-35584G50Mnrr NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.18 lb,Red,"1""","15""","10.1""",DVD-Writer,,1.70 GHz,Pentium,3558U,Dual-core (2 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
540,8.879E+11,276427107,Acer,,ES1-512-C88M,276427107,887899764097,00887899764097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,22265896815,277142694,Toshiba,,PSCLYU-01303H,277142694,022265896815,00022265896815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,8.89899E+11,294123181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
